C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）,predicted_AMPS ratio (mol%)_random_forest,abs_error_AMPS ratio (mol%)_random_forest,predicted_conversion（%）_random_forest,abs_error_conversion（%）_random_forest,predicted_AMPS ratio (mol%)_decision_tree,abs_error_AMPS ratio (mol%)_decision_tree,predicted_conversion（%）_decision_tree,abs_error_conversion（%）_decision_tree,predicted_AMPS ratio (mol%)_gbt,abs_error_AMPS ratio (mol%)_gbt,predicted_conversion（%）_gbt,abs_error_conversion（%）_gbt,predicted_AMPS ratio (mol%)_xgb,abs_error_AMPS ratio (mol%)_xgb,predicted_conversion（%）_xgb,abs_error_conversion（%）_xgb,predicted_AMPS ratio (mol%)_svr,abs_error_AMPS ratio (mol%)_svr,predicted_conversion（%）_svr,abs_error_conversion（%）_svr,predicted_AMPS ratio (mol%)_linear_regression,abs_error_AMPS ratio (mol%)_linear_regression,predicted_conversion（%）_linear_regression,abs_error_conversion（%）_linear_regression
0.009803921568627449,0.009803921568627449,0.009803921568627449,1.53,15,20,1.5,19.7,97.0,17.844,1.856,88.87,8.13,19.7,0.0,97.0,0.0,19.309,0.391,93.437,3.563,19.652,0.048,96.512,0.488,19.029,0.671,77.423,19.577,17.812,1.888,82.806,14.194
0.0980392156862745,0.0980392156862745,0.0980392156862745,1.53,20,20,2.0,20.0,96.5,18.176,1.824,93.708,2.792,20.0,0.0,96.5,0.0,19.619,0.381,95.93,0.57,19.975,0.025,96.617,-0.117,20.755,-0.755,96.6,-0.1,18.054,1.946,85.818,10.682
0.0,0.009803921568627449,9.80392156862745e-05,2.04,10,20,2.0,20.0,96.6,19.284,0.716,93.008,3.592,20.0,0.0,96.6,0.0,19.214,0.786,93.907,2.693,19.773,0.227,95.586,1.014,19.646,0.354,89.544,7.056,18.711,1.289,87.984,8.616
9.80392156862745e-05,0.0980392156862745,0.000980392156862745,2.04,15,20,0.0,20.0,99.4,19.618,0.382,97.13,2.27,20.0,0.0,99.4,0.0,19.891,0.109,97.9,1.5,20.0,0.0,99.445,-0.045,19.9,0.1,98.765,0.635,18.834,1.166,91.317,8.083
0.000980392156862745,0.0,0.009803921568627449,2.04,20,20,0.5,17.5,80.0,19.152,-1.652,81.96,-1.96,18.6,-1.1,79.0,1.0,18.04,-0.54,79.779,0.221,17.747,-0.247,81.749,-1.749,19.612,-2.112,87.574,-7.574,17.751,-0.251,82.371,-2.371
0.009803921568627449,9.80392156862745e-05,0.0980392156862745,2.04,0,20,1.0,19.0,90.0,18.54,0.46,88.978,1.022,19.0,0.0,90.0,0.0,18.78,0.22,90.332,-0.332,19.013,-0.013,89.337,0.663,18.812,0.188,86.961,3.039,16.209,2.791,72.833,17.167
0.0980392156862745,0.000980392156862745,0.0,2.04,5,20,1.5,15.0,78.0,16.766,-1.766,85.884,-7.884,15.0,0.0,78.0,0.0,17.7,-2.7,84.797,-6.797,15.263,-0.263,79.974,-1.974,20.313,-5.313,98.12,-20.12,20.023,-5.023,97.219,-19.219
9.80392156862745e-05,0.000980392156862745,0.009803921568627449,2.55,0,20,2.0,18.6,87.0,18.452,0.148,89.066,-2.066,18.6,0.0,87.0,0.0,18.647,-0.047,88.05,-1.05,18.63,-0.03,87.211,-0.211,20.174,-1.574,94.66,-7.66,19.102,-0.502,90.294,-3.294
0.009803921568627449,0.0980392156862745,0.0,2.55,10,20,0.5,20.0,98.0,18.486,1.514,97.23,0.77,20.0,0.0,97.0,1.0,19.776,0.224,98.684,-0.684,20.265,-0.265,97.701,0.299,19.667,0.333,98.99,-0.99,19.824,0.176,97.184,0.816
0.0980392156862745,0.0,9.80392156862745e-05,2.55,15,20,1.0,20.0,95.0,18.9,1.1,93.74,1.26,20.0,0.0,96.0,-1.0,18.219,1.781,92.666,2.334,18.39,1.61,94.247,0.753,20.273,-0.273,99.082,-4.082,20.29,-0.29,98.614,-3.614
