,C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),AMPS ratio (mol%),conversion（%）
79,0.0,0.0138888888888889,0.000138888888888889,1.44,10,50,2.0,44.0,53.2
98,0.0457317073170732,0.00914634146341463,0.00914634146341463,1.64,15,10,1.5,10.0,71.0
75,0.125,0.000125,0.0125,2.8,10,40,0.0,40.0,99.0
155,0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,1.0,50.0,96.8
135,0.00020689655172413798,0.0206896551724138,0.0,1.45,5,100,0.2,100.0,98.0
32,0.0,0.000980392156862745,0.0980392156862745,3.57,15,20,0.5,19.0,83.6
120,0.000310932475884244,0.0006218649517684891,0.0,1.60806618407446,15,90,0.3,90.0,97.0
2,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,20,10,2.0,10.0,100.0
89,0.0138888888888889,0.00138888888888889,0.000138888888888889,2.16,20,50,0.0,50.0,92.6
121,0.0012437299035369799,0.0012437299035369799,0.0,1.60806618407446,15,90,0.2,90.0,98.8
113,0.00172413793103448,0.006896551724137929,0.0,1.45,5,75,2.0,75.0,98.2
152,0.00138888888888889,0.00833333333333333,0.00416666666666667,1.8,5,50,2.0,50.0,96.3
109,0.0009138,0.00913838120104439,0.0,3.83,20,10,1.0,10.0,94.0
19,0.0980392156862745,0.0980392156862745,0.0980392156862745,1.53,20,20,2.0,20.0,96.5
65,0.0125,0.125,0.0,2.0,10,40,0.5,40.0,95.0
146,0.00277777777777778,0.00416666666666667,0.0,1.8,5,50,5.0,50.0,97.2
7,0.091324200913242,0.0009132420091324201,0.0,2.19,5,10,1.5,10.0,98.7
133,0.000295714285714286,0.00118285714285714,0.0,1.69082125603865,5,100,0.2,100.0,96.6
141,0.00555555555555556,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,50.0,95.3
67,0.0,0.125,0.0125,2.4,5,40,1.0,36.0,85.4
118,0.00015560000000000001,0.00031120000000000003,7.780000000000001e-05,3.2133676092545,10,5,0.2,5.0,94.9
74,0.0125,0.0,0.00125,2.8,5,40,2.0,34.0,70.5
117,0.00041999999999999996,0.0008399999999999999,0.00020999999999999998,2.38095238095238,20,25,0.2,25.0,98.5
96,0.000914634146341463,9.14634146341463e-05,9.14634146341463e-05,1.64,5,10,0.5,8.0,72.0
