C_i/C_m((g/L)/M),C_ci/C_m((g/L)/M),C_t/C_m((g/L)/M),C_m (M),T (°C),AMPS feed ratio (mol%),C_c (mg/L),[η] (mL/g),predicted[η] (mL/g)_DECISION_TREE,absolute_error_DECISION_TREE,relative_error(%)_DECISION_TREE,predicted[η] (mL/g)_SVR,absolute_error_SVR,relative_error(%)_SVR,predicted[η] (mL/g)_XGB,absolute_error_XGB,relative_error(%)_XGB,predicted[η] (mL/g)_RANDOM_FOREST,absolute_error_RANDOM_FOREST,relative_error(%)_RANDOM_FOREST,predicted[η] (mL/g)_GBT,absolute_error_GBT,relative_error(%)_GBT,predicted[η] (mL/g)_LINEAR_REGRESSION,absolute_error_LINEAR_REGRESSION,relative_error(%)_LINEAR_REGRESSION
9.13838120104439e-05,0.000913838120104439,0.0913838120104439,3.83,15,10,0.5,368.0,368.0,0.0,0.0,407.62,-39.62,-10.77,365.21,2.79,0.76,398.78,-30.78,-8.36,378.33,-10.33,-2.81,596.35,-228.35,-62.05
0.0009138,0.00913838120104439,0.0,3.83,20,10,1.0,2432.0,2432.0,0.0,0.0,1458.44,973.56,40.03,2410.37,21.63,0.89,2081.77,350.23,14.4,2251.31,180.69,7.43,1313.04,1118.96,46.01
0.0456919060052219,0.0,0.000913838120104439,3.83,5,10,2.0,357.0,357.0,0.0,0.0,558.28,-201.28,-56.38,365.12,-8.12,-2.27,482.52,-125.52,-35.16,390.2,-33.2,-9.3,685.37,-328.37,-91.98
0.0103448275862069,0.00431034482758621,0.0,1.45,5,75,5.0,1200.0,1200.0,0.0,0.0,1326.17,-126.17,-10.51,1212.07,-12.07,-1.01,1286.94,-86.94,-7.24,1339.53,-139.53,-11.63,1823.29,-623.29,-51.94
0.00630252100840336,0.00262605042016807,0.0,2.38,5,25,2.0,1555.0,1555.0,0.0,0.0,1557.76,-2.76,-0.18,1589.14,-34.14,-2.2,1650.62,-95.62,-6.15,1801.38,-246.38,-15.84,1501.06,53.94,3.47
0.00172413793103448,0.006896551724137929,0.0,1.45,5,75,2.0,1705.0,1705.0,0.0,0.0,1581.97,123.03,7.22,1694.26,10.74,0.63,1522.08,182.92,10.73,1520.31,184.69,10.83,1587.61,117.39,6.89
0.00010499999999999999,0.004200000000000001,0.00010499999999999999,2.38095238095238,17,25,0.2,2076.48000058533,2076.48,0.0,0.0,1765.02,311.46,15.0,2083.64,-7.16,-0.34,1920.08,156.4,7.53,1978.89,97.59,4.7,1477.36,599.12,28.85
0.00020999999999999998,0.00041999999999999996,0.00041999999999999996,2.38095238095238,15,25,0.2,1622.92088313968,1675.0,-52.08,-3.21,1689.16,-66.24,-4.08,1642.26,-19.34,-1.19,1585.6,37.32,2.3,1408.67,214.25,13.2,1450.3,172.62,10.64
0.00010499999999999999,0.00041999999999999996,2.1000000000000002e-05,2.38095238095238,15,25,0.2,2056.09225076216,2056.09,0.0,0.0,1691.74,364.35,17.72,2013.9,42.19,2.05,1648.2,407.89,19.84,1827.78,228.31,11.1,1457.11,598.98,29.13
0.00041999999999999996,0.0008399999999999999,0.00020999999999999998,2.38095238095238,20,25,0.2,1815.88599287845,1815.89,-0.0,-0.0,1775.5,40.39,2.22,1830.3,-14.41,-0.79,1711.55,104.34,5.75,1842.82,-26.93,-1.48,1481.64,334.25,18.41
0.00015560000000000001,0.00031120000000000003,7.780000000000001e-05,3.2133676092545,10,5,0.2,541.054153894344,541.05,0.0,0.0,953.89,-412.84,-76.3,556.54,-15.49,-2.86,944.39,-403.34,-74.55,649.02,-107.97,-19.96,1322.38,-781.33,-144.41
0.0007779999999999999,0.0006224000000000001,0.00031120000000000003,3.2133676092545,10,5,0.2,1808.29847099356,1808.3,-0.0,-0.0,948.0,860.3,47.58,1752.38,55.92,3.09,1270.73,537.57,29.73,1582.13,226.17,12.51,1308.63,499.67,27.63
0.000310932475884244,0.0006218649517684891,0.0,1.60806618407446,15,90,0.3,1192.5869961603,1192.59,-0.0,-0.0,1033.75,158.84,13.32,1194.31,-1.72,-0.14,1162.7,29.89,2.51,1191.6,0.99,0.08,1329.42,-136.83,-11.47
0.0012437299035369799,0.0012437299035369799,0.0,1.60806618407446,15,90,0.2,939.384817635656,939.38,0.0,0.0,1013.19,-73.81,-7.86,945.04,-5.66,-0.6,1025.49,-86.11,-9.17,972.11,-32.73,-3.48,1301.03,-361.65,-38.5
0.000299666666666667,0.000599333333333333,0.0,1.66852057842047,15,80,0.2,1318.63182712561,1318.63,0.0,0.0,1131.97,186.66,14.16,1291.57,27.06,2.05,1215.9,102.73,7.79,1230.96,87.67,6.65,1351.53,-32.9,-2.5
0.00119866666666667,0.0,0.0,1.66852057842047,15,80,0.2,1020.11050680825,1020.11,0.0,0.0,1127.09,-106.98,-10.49,1046.25,-26.14,-2.56,1070.27,-50.16,-4.92,1137.88,-117.77,-11.54,1332.76,-312.65,-30.65
0.000277,0.000554,0.0,1.80505415162455,15,70,0.2,1131.77794186934,1131.78,-0.0,-0.0,1266.54,-134.76,-11.91,1130.36,1.42,0.13,1122.75,9.03,0.8,1079.41,52.37,4.63,1368.23,-236.45,-20.89
0.0,0.01662,0.0,1.80505415162455,15,70,0.0,740.545675301757,740.55,-0.0,-0.0,1230.43,-489.88,-66.15,764.35,-23.8,-3.21,870.75,-130.2,-17.58,818.36,-77.81,-10.51,1381.99,-641.44,-86.62
0.00025433333333333303,0.000508666666666667,0.0,1.96592398427261,15,60,0.2,997.022933441407,997.02,0.0,0.0,1419.31,-422.29,-42.36,1009.58,-12.56,-1.26,1046.14,-49.12,-4.93,1036.71,-39.69,-3.98,1379.27,-382.25,-38.34
0.0,0.015260000000000001,0.0,1.96592398427261,15,60,0.0,1016.28138799641,1016.28,0.0,0.0,1387.47,-371.19,-36.52,978.05,38.23,3.76,994.97,21.31,2.1,1012.88,3.4,0.33,1389.97,-373.69,-36.77
0.00071,0.00142,0.000355,2.8169014084507,10,0,0.2,838.064869536031,838.06,0.0,0.0,980.03,-141.97,-16.94,855.72,-17.66,-2.11,1051.89,-213.83,-25.51,938.01,-99.95,-11.93,1430.29,-592.23,-70.67
0.0,0.0070999999999999995,0.000355,2.8169014084507,10,0,0.2,905.812481869346,905.81,0.0,0.0,1000.73,-94.92,-10.48,890.12,15.69,1.73,994.75,-88.94,-9.82,877.68,28.13,3.11,1457.38,-551.57,-60.89
0.00028735632183907997,0.0022988505747126397,0.0,1.74,5,75,0.2,1101.0,1101.0,0.0,0.0,1216.52,-115.52,-10.49,1066.2,34.8,3.16,1066.15,34.85,3.17,1034.73,66.27,6.02,1303.53,-202.53,-18.4
0.0028735632183908002,0.0,0.0,1.74,5,75,0.2,1032.0,1020.11,11.89,1.15,1192.6,-160.6,-15.56,1154.79,-122.79,-11.9,1078.63,-46.63,-4.52,1207.46,-175.46,-17.0,1251.07,-219.07,-21.23
0.000345,0.00138,0.0,1.44927536231884,25,100,0.2,888.099691821752,939.38,-51.28,-5.77,803.06,85.04,9.58,1020.18,-132.08,-14.87,1022.93,-134.83,-15.18,1166.27,-278.17,-31.32,1367.0,-478.9,-53.92
0.000295714285714286,0.00118285714285714,0.0,1.69082125603865,5,100,0.2,748.045530007381,748.05,-0.0,-0.0,922.32,-174.27,-23.3,765.2,-17.15,-2.29,861.6,-113.55,-15.18,797.9,-49.85,-6.66,1199.97,-451.92,-60.41
0.000345,0.00138,0.0,1.44927536231884,5,100,0.2,849.314279806248,1101.0,-251.69,-29.63,962.35,-113.04,-13.31,955.34,-106.03,-12.48,963.02,-113.71,-13.39,1159.19,-309.88,-36.49,1251.07,-401.76,-47.3
0.00020689655172413798,0.0206896551724138,0.0,1.45,5,100,0.2,1151.0,740.55,410.45,35.66,970.61,180.39,15.67,959.77,191.23,16.61,1022.89,128.11,11.13,907.36,243.64,21.17,1289.84,-138.84,-12.06
0.0020661157024793398,0.008264462809917359,0.0,1.21,5,100,2.0,1386.0,1386.0,0.0,0.0,1229.61,156.39,11.28,1393.32,-7.32,-0.53,1431.03,-45.03,-3.25,1413.18,-27.18,-1.96,1509.17,-123.17,-8.89
0.00833333333333333,0.0034722222222222203,0.0277777777777778,1.8,5,50,5.0,1805.0,1805.0,0.0,0.0,1633.41,171.59,9.51,1784.2,20.8,1.15,1756.61,48.39,2.68,1658.79,146.21,8.1,1549.12,255.88,14.18
0.00138888888888889,0.009722222222222219,0.0,1.8,5,50,5.0,1797.0,1797.0,0.0,0.0,1724.55,72.45,4.03,1807.93,-10.93,-0.61,1807.32,-10.32,-0.57,1896.52,-99.52,-5.54,2154.68,-357.68,-19.9
0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,5.0,1896.0,1777.0,119.0,6.28,1672.79,223.21,11.77,1844.78,51.22,2.7,1784.97,111.03,5.86,1858.81,37.19,1.96,2011.18,-115.18,-6.07
0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,2.0,1896.0,1896.0,0.0,0.0,1717.73,178.27,9.4,1783.03,112.97,5.96,1839.81,56.19,2.96,1789.26,106.74,5.63,1476.14,419.86,22.14
0.00555555555555556,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1868.0,1868.0,0.0,0.0,1787.44,80.56,4.31,1829.84,38.16,2.04,1805.74,62.26,3.33,1775.56,92.44,4.95,1407.85,460.15,24.63
0.00833333333333333,0.0034722222222222203,0.0111111111111111,1.8,5,50,2.0,1656.0,1656.0,0.0,0.0,1731.34,-75.34,-4.55,1699.87,-43.87,-2.65,1717.18,-61.18,-3.69,1725.97,-69.97,-4.23,1352.03,303.97,18.36
0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,1.0,1654.5,1654.5,0.0,0.0,1520.21,134.29,8.12,1717.71,-63.21,-3.82,1715.5,-61.0,-3.69,1769.9,-115.4,-6.97,1350.08,304.42,18.4
0.00833333333333333,0.0034722222222222203,0.0,1.8,5,50,3.0,1734.0,1734.0,0.0,0.0,1815.25,-81.25,-4.69,1748.05,-14.05,-0.81,1789.48,-55.48,-3.2,1789.26,-55.26,-3.19,1613.97,120.03,6.92
0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,3.0,1600.0,1777.0,-177.0,-11.06,1871.67,-271.67,-16.98,1847.14,-247.14,-15.45,1802.65,-202.65,-12.67,1858.81,-258.81,-16.18,1682.34,-82.34,-5.15
0.00277777777777778,0.00416666666666667,0.0,1.8,5,50,5.0,1777.0,1777.0,0.0,0.0,1700.73,76.27,4.29,1844.78,-67.78,-3.81,1794.11,-17.11,-0.96,1858.81,-81.81,-4.6,2094.21,-317.21,-17.85
0.00277777777777778,0.00416666666666667,0.0111111111111111,1.8,5,50,5.0,1947.0,1947.0,0.0,0.0,1725.61,221.39,11.37,1857.45,89.55,4.6,1862.52,84.48,4.34,1775.56,171.44,8.81,1918.14,28.86,1.48
0.00833333333333333,0.0034722222222222203,0.00555555555555556,1.8,5,50,2.0,1896.0,1896.0,0.0,0.0,1729.53,166.47,8.78,1851.83,44.17,2.33,1835.49,60.51,3.19,1784.53,111.47,5.88,1412.72,483.28,25.49
0.00833333333333333,0.005,0.0,1.8,5,50,2.0,1754.0,1754.0,0.0,0.0,1723.88,30.12,1.72,1779.17,-25.17,-1.44,1782.66,-28.66,-1.63,1789.26,-35.26,-2.01,1479.49,274.51,15.65
0.00138888888888889,0.00555555555555556,0.00277777777777778,1.8,5,50,2.0,1919.5,1919.5,0.0,0.0,1869.78,49.72,2.59,1875.21,44.29,2.31,1850.46,69.04,3.6,1842.1,77.4,4.03,1602.73,316.77,16.5
0.00555555555555556,0.00416666666666667,0.0,1.8,5,50,2.0,1814.0,1814.0,0.0,0.0,1776.98,37.02,2.04,1877.8,-63.8,-3.52,1827.72,-13.72,-0.76,1858.81,-44.81,-2.47,1538.67,275.33,15.18
0.00138888888888889,0.00833333333333333,0.00416666666666667,1.8,5,50,2.0,1555.0,1555.0,0.0,0.0,1884.03,-329.03,-21.16,1665.92,-110.92,-7.13,1686.3,-131.3,-8.44,1837.91,-282.91,-18.19,1591.77,-36.77,-2.36
0.00138888888888889,0.00555555555555556,0.00416666666666667,1.8,5,50,2.0,2187.5,1919.5,268.0,12.25,1872.45,315.05,14.4,1811.69,375.81,17.18,1859.37,328.13,15.0,1837.91,349.59,15.98,1585.23,602.27,27.53
0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,0.5,2069.0,2069.0,0.0,0.0,1520.13,548.87,26.53,1935.99,133.01,6.43,1951.57,117.43,5.68,1876.0,193.0,9.33,1432.98,636.02,30.74
0.00138888888888889,0.00555555555555556,0.0,1.8,5,50,1.0,1925.3,1925.3,0.0,0.0,1650.93,274.37,14.25,1905.87,19.43,1.01,1894.56,30.74,1.6,1876.0,49.3,2.56,1498.39,426.91,22.17
0.00138888888888889,0.00416666666666667,0.0,1.8,5,50,1.0,1902.0,1925.3,-23.3,-1.23,1644.88,257.12,13.52,1881.5,20.5,1.08,1860.26,41.74,2.19,1855.27,46.73,2.46,1495.31,406.69,21.38
0.0075,0.003125,0.0,2.0,5,40,1.0,1656.0,1656.0,0.0,0.0,1502.18,153.82,9.29,1702.03,-46.03,-2.78,1692.9,-36.9,-2.23,1742.83,-86.83,-5.24,1367.15,288.85,17.44
0.0075,0.003125,0.0,2.0,5,40,0.5,1754.0,2069.0,-315.0,-17.96,1380.98,373.02,21.27,1722.77,31.23,1.78,1722.34,31.66,1.81,1742.83,11.17,0.64,1307.47,446.53,25.46
0.005,0.003125,0.025,2.0,5,40,1.0,1755.0,1755.0,0.0,0.0,1546.18,208.82,11.9,1747.34,7.66,0.44,1723.76,31.24,1.78,1679.81,75.19,4.28,1163.64,591.36,33.7
0.0075,0.003125,0.025,2.0,5,40,1.0,1656.0,1656.0,0.0,0.0,1498.31,157.69,9.52,1667.44,-11.44,-0.69,1684.82,-28.82,-1.74,1610.66,45.34,2.74,1122.03,533.97,32.24
0.00125,0.005,0.0,2.0,5,40,2.0,2164.0,1656.0,508.0,23.48,1866.02,297.98,13.77,1946.23,217.77,10.06,1865.11,298.89,13.81,1879.31,284.69,13.16,1641.83,522.17,24.13
0.0075,0.003125,0.0,2.0,5,40,5.0,1720.0,1720.0,0.0,0.0,1716.25,3.75,0.22,1708.82,11.18,0.65,1712.38,7.62,0.44,1761.89,-41.89,-2.44,1953.86,-233.86,-13.6
0.0075,0.003125,0.0,2.0,5,40,6.0,1614.0,1614.0,0.0,0.0,1509.43,104.57,6.48,1649.74,-35.74,-2.21,1648.08,-34.08,-2.11,1729.83,-115.83,-7.18,2136.29,-522.29,-32.36
0.0075,0.003125,0.0,2.0,10,40,2.0,2093.0,2093.0,0.0,0.0,2066.25,26.75,1.28,2032.08,60.92,2.91,1986.28,106.72,5.1,2011.36,81.64,3.9,1528.3,564.7,26.98
